Datum;SommerferienBaW
2019-08-01;1
2019-08-02;1
2019-08-03;1
2019-08-04;1
2019-08-05;1
2019-08-06;1
2019-08-07;1
2019-08-08;1
2019-08-09;1
2019-08-10;1
2019-08-11;1
2019-08-12;1
2019-08-13;1
2019-08-14;1
2019-08-15;1
2019-08-16;1
2019-08-17;1
2019-08-18;1
2019-08-19;1
2019-08-20;1
2019-08-21;1
2019-08-22;1
2019-08-23;1
2019-08-24;1
2019-08-25;1
2019-08-26;1
2019-08-27;1
2019-08-28;1
2019-08-29;1
2019-08-30;1
2019-08-31;1
2019-09-01;1
2019-09-02;1
2019-09-03;1
2019-09-04;1
2019-09-05;1
2019-09-06;1
2019-09-07;1
2019-09-08;1
2019-09-09;1
2019-09-10;1
